+--------------------------------------------+------------------------+-----------------+
| Pattern                                    | Number of candlesticks | Number detected |
| shooting star two candle opp trend         |           2            |               1 |
| thrusting                                  |           2            |            1491 |
| thrusting no trend                         |           2            |           22402 |
| thrusting opp trend                        |           2            |            1166 |
| tweezers bottom                            |           2            |           89518 |
| tweezers bottom no trend                   |           2            |         1801153 |
| tweezers bottom opp trend                  |           2            |           99858 |
| tweezers top                               |           2            |          103157 |
| tweezers top no trend                      |           2            |         1810408 |
| tweezers top opp trend                     |           2            |           88237 |
| window falling                             |           2            |            1758 |
| window falling no trend                    |           2            |           38635 |
| window falling opp trend                   |           2            |             308 |
| window rising                              |           2            |            1755 |
| window rising no trend                     |           2            |           39824 |
| window rising opp trend                    |           2            |             306 |
+--------------------------------------------+------------------------+-----------------+
| abandoned baby bearish                     |           3            |               2 |
| abandoned baby bearish no trend            |           3            |              85 |
| abandoned baby bearish opp trend           |           3            |               2 |
| abandoned baby bullish                     |           3            |               1 |
| abandoned baby bullish no trend            |           3            |              91 |
| abandoned baby bullish opp trend           |           3            |               4 |
| advance block                              |           3            |              94 |
| advance block no trend                     |           3            |             363 |
| advance block opp trend                    |           3            |               6 |
| deliberation                               |           3            |             300 |
| deliberation no trend                      |           3            |            1380 |
| deliberation opp trend                     |           3            |               9 |
| doji star collapsing                       |           3            |               0 |
| doji star collapsing no trend              |           3            |               3 |
| doji star collapsing opp trend             |           3            |               1 |
| downside gap three methods                 |           3            |               0 |
| downside gap three methods no trend        |           3            |               3 |
| downside gap three methods opp trend       |           3            |               0 |
| downside tasuki gap                        |           3            |               1 |
| downside tasuki gap no trend               |           3            |               8 |
| downside tasuki gap opp trend              |           3            |               0 |
| evening doji star                          |           3            |               2 |
| evening doji star no trend                 |           3            |               8 |
| evening doji star opp trend                |           3            |               0 |
| evening star                               |           3            |               0 |
| evening star no trend                      |           3            |               0 |
| evening star opp trend                     |           3            |               0 |
| identical three crows                      |           3            |              30 |
| identical three crows no trend             |           3            |            3814 |
| identical three crows opp trend            |           3            |             674 |
| morning doji star                          |           3            |              22 |
| morning doji star no trend                 |           3            |             293 |
| morning doji star opp trend                |           3            |              18 |
| morning star                               |           3            |               0 |
| morning star no trend                      |           3            |               2 |
| morning star opp trend                     |           3            |               0 |
| side by side white lines bearish           |           3            |               3 |
| side by side white lines bearish no trend  |           3            |              14 |
| side by side white lines bearish opp trend |           3            |               1 |
| side by side white lines bullish           |           3            |            1665 |
| side by side white lines bullish no trend  |           3            |            8220 |
| side by side white lines bullish opp trend |           3            |              70 |
| stick sandwich                             |           3            |           17668 |
| stick sandwich no trend                    |           3            |          147683 |
| stick sandwich opp trend                   |           3            |            6322 |
| three black crows                          |           3            |               1 |
| three black crows no trend                 |           3            |             155 |
| three black crows opp trend                |           3            |              25 |
| three inside down                          |           3            |             495 |
| three inside down no trend                 |           3            |            5637 |
| three inside down opp trend                |           3            |             449 |
| three inside up                            |           3            |             388 |
| three inside up no trend                   |           3            |            5622 |
| three inside up opp trend                  |           3            |             473 |
| three outside down                         |           3            |             225 |
| three outside down no trend                |           3            |            8776 |
| three outside down opp trend               |           3            |            1575 |
| three outside up                           |           3            |             286 |
| three outside up no trend                  |           3            |            9110 |
| three outside up opp trend                 |           3            |            1534 |
| three stars in the south                   |           3            |               0 |
| three stars in the south no trend          |           3            |               0 |
| three stars in the south opp trend         |           3            |               0 |
| three white soldiers                       |           3            |               0 |
| three white soldiers no trend              |           3            |             142 |
| three white soldiers opp trend             |           3            |              23 |
| tri star bearish                           |           3            |             239 |
| tri star bearish no trend                  |           3            |           13371 |
| tri star bearish opp trend                 |           3            |             268 |
| tri star bullish                           |           3            |             238 |
| tri star bullish no trend                  |           3            |           13193 |
| tri star bullish opp trend                 |           3            |             299 |
| two black gapping candles                  |           3            |             384 |
| two black gapping candles no trend         |           3            |            2463 |
| two black gapping candles opp trend        |           3            |               1 |
| two crows                                  |           3            |               0 |
| two crows no trend                         |           3            |               0 |
| two crows opp trend                        |           3            |               0 |
| unique three river bottom                  |           3            |               0 |
| unique three river bottom no trend         |           3            |               0 |
| unique three river bottom opp trend        |           3            |               0 |
| upside gap three methods                   |           3            |               1 |
| upside gap three methods no trend          |           3            |              16 |
| upside gap three methods opp trend         |           3            |               0 |
| upside gap two crows                       |           3            |               0 |
| upside gap two crows no trend              |           3            |               0 |
| upside gap two crows opp trend             |           3            |               0 |
| upside tasuki gap                          |           3            |               0 |
| upside tasuki gap no trend                 |           3            |               0 |
| upside tasuki gap opp trend                |           3            |               0 |
+--------------------------------------------+------------------------+-----------------+
| concealing baby swallow                    |           4            |               0 |
| concealing baby swallow no trend           |           4            |               0 |
| concealing baby swallow opp trend          |           4            |               0 |
| three line strike bearish                  |           4            |              12 |
| three line strike bearish no trend         |           4            |             345 |
| three line strike bearish opp trend        |           4            |              17 |
| three line strike bullish                  |           4            |              14 |
| three line strike bullish no trend         |           4            |             292 |
| three line strike bullish opp trend        |           4            |              18 |
+--------------------------------------------+------------------------+-----------------+
| breakaway bearish                          |           5            |               0 |
| breakaway bearish no trend                 |           5            |               0 |
| breakaway bearish opp trend                |           5            |               0 |
| breakaway bullish                          |           5            |               0 |
| breakaway bullish no trend                 |           5            |               0 |
| breakaway bullish opp trend                |           5            |               0 |
| falling three methods                      |           5            |               1 |
| falling three methods no trend             |           5            |               1 |
| falling three methods opp trend            |           5            |               0 |
| ladder bottom                              |           5            |               0 |
| ladder bottom no trend                     |           5            |               0 |
| ladder bottom opp trend                    |           5            |               0 |
| mat hold                                   |           5            |               0 |
| mat hold no trend                          |           5            |               0 |
| mat hold opp trend                         |           5            |               0 |
| rising three methods                       |           5            |               1 |
| rising three methods no trend              |           5            |               1 |
| rising three methods opp trend             |           5            |               0 |
+--------------------------------------------+------------------------+-----------------+
| eight new price lines                      |           8            |            3677 |
| eight new price lines no trend             |           8            |            4580 |
| eight new price lines opp trend            |           8            |               0 |
+--------------------------------------------+------------------------+-----------------+
| ten new price lines                        |           10           |             828 |
| ten new price lines no trend               |           10           |             865 |
| ten new price lines opp trend              |           10           |               0 |
+--------------------------------------------+------------------------+-----------------+
| long black day                             |           11           |               0 |
| long black day down trend                  |           11           |               0 |
| long black day up trend                    |           11           |               0 |
| long white day                             |           11           |               0 |
| long white day down trend                  |           11           |               0 |
| long white day up trend                    |           11           |               0 |
+--------------------------------------------+------------------------+-----------------+
| twelve new price lines                     |           12           |             160 |
| twelve new price lines no trend            |           12           |             167 |
| twelve new price lines opp trend           |           12           |               0 |
+--------------------------------------------+------------------------+-----------------+
| thirteen new price lines                   |           13           |              62 |
| thirteen new price lines no trend          |           13           |              65 |
| thirteen new price lines opp trend         |           13           |               0 |
+--------------------------------------------+------------------------+-----------------+
